,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
0,DFS.N,,NaN,,
1,DFS.N,,NaN,,
2,DFS.N,,NaN,,
3,DFS.N,,NaN,,
4,DFS.N,,NaN,,
5,DFS.N,,NaN,,
6,DFS.N,,NaN,,
7,DFS.N,,NaN,,
8,DFS.N,,NaN,,
9,DFS.N,,NaN,,
10,DFS.N,,NaN,,
11,DFS.N,,NaN,,
12,DFS.N,,NaN,,
13,DFS.N,,NaN,,
14,DFS.N,,NaN,,
15,DFS.N,,NaN,,
16,DFS.N,,NaN,,
17,DFS.N,,NaN,,
18,DFS.N,,NaN,,
19,DFS.N,,NaN,,
20,DFS.N,,NaN,,
21,DFS.N,,NaN,,
22,DFS.N,,NaN,,
23,DFS.N,,NaN,,
24,DFS.N,,NaN,,
25,DFS.N,,NaN,,
26,DFS.N,,NaN,,
27,DFS.N,,NaN,,
28,DFS.N,,NaN,,
29,DFS.N,,NaN,,
30,DFS.N,,NaN,,
31,DFS.N,,NaN,,
32,DFS.N,,NaN,,
33,DFS.N,,NaN,,
34,DFS.N,,NaN,,
35,DFS.N,,NaN,,
36,DFS.N,,NaN,,
37,DFS.N,,NaN,,
38,DFS.N,,NaN,,
39,DFS.N,,NaN,,
40,DFS.N,,NaN,,
41,DFS.N,2007-06-29T00:00:00Z,-0.869565217357782,,28.5
42,DFS.N,2007-07-31T00:00:00Z,-19.1228070183962,11000288117.35,23.05
43,DFS.N,2007-08-31T00:00:00Z,0.390455532024081,11043239350.78,23.14
44,DFS.N,2007-09-28T00:00:00Z,-8.6115992972849,9926507281.6,20.8
45,DFS.N,2007-10-31T00:00:00Z,-6.95077463664388,9216801618.4,19.3
46,DFS.N,2007-11-30T00:00:00Z,-13.7537239326671,8295121456.56,17.37
47,DFS.N,2007-12-31T00:00:00Z,-12.8382268286276,7201521679.04,15.08
48,DFS.N,2008-01-31T00:00:00Z,16.0477453560844,8379427115.73,17.5
49,DFS.N,2008-02-29T00:00:00Z,-7.70642201826565,7229591490.93,15.09
50,DFS.N,2008-03-31T00:00:00Z,8.48243869965877,7846511191.18,16.37
51,DFS.N,2008-04-30T00:00:00Z,14.3405780046365,8728464800.94,18.21
52,DFS.N,2008-05-30T00:00:00Z,-5.82097748563546,8220382830.09999,17.15
53,DFS.N,2008-06-30T00:00:00Z,-22.867455437462,6312989783.25,13.17
54,DFS.N,2008-07-31T00:00:00Z,11.2376613504352,7022422196.25,14.65
55,DFS.N,2008-08-29T00:00:00Z,12.286689414987,7885245401.25,16.45
56,DFS.N,2008-09-30T00:00:00Z,-15.9878419451004,6632439230.56,13.82
57,DFS.N,2008-10-31T00:00:00Z,-11.3603473240216,5878971098.0,12.25
58,DFS.N,2008-11-28T00:00:00Z,-9.30851063824845,4909540761.84,10.23
59,DFS.N,2008-12-31T00:00:00Z,-6.22018736000041,4574276110.0,9.53
60,DFS.N,2009-01-30T00:00:00Z,-24.9737670529634,3432401408.15,7.15
61,DFS.N,2009-02-27T00:00:00Z,-27.5600505680768,2750721687.93,5.73
62,DFS.N,2009-03-31T00:00:00Z,10.5032095979067,3038907187.62999,6.31
63,DFS.N,2009-04-30T00:00:00Z,40.6574394468429,3915422414.49,8.13
64,DFS.N,2009-05-29T00:00:00Z,17.5891758908954,4604112949.88,9.56
65,DFS.N,2009-06-30T00:00:00Z,7.62776379490044,4961242907.26999,10.27
66,DFS.N,2009-07-31T00:00:00Z,15.6767283350192,6460491882.24,11.88
67,DFS.N,2009-08-31T00:00:00Z,15.7407407417824,7477421160.0,13.75
68,DFS.N,2009-09-30T00:00:00Z,14.197650109945,8809883084.13,16.23
69,DFS.N,2009-10-30T00:00:00Z,-12.8773875531291,7675400296.34,14.14
70,DFS.N,2009-11-30T00:00:00Z,9.33521923572436,8391915741.26,15.46
71,DFS.N,2009-12-31T00:00:00Z,-4.72230110475044,7984804693.01,14.71
72,DFS.N,2010-01-29T00:00:00Z,-7.00203942830023,7436580367.68,13.68
73,DFS.N,2010-02-26T00:00:00Z,1.03626943037678,7421576225.7,13.65
74,DFS.N,2010-03-31T00:00:00Z,9.30189739775862,8102974888.2,14.9
75,DFS.N,2010-04-30T00:00:00Z,2.24867725002,8407516226.28,15.46
76,DFS.N,2010-05-28T00:00:00Z,-13.0012936591879,7314430352.09999,13.45
77,DFS.N,2010-06-30T00:00:00Z,3.94052044493007,7605635232.9,13.98
78,DFS.N,2010-07-30T00:00:00Z,9.38531097276061,8307442775.84999,15.27
79,DFS.N,2010-08-31T00:00:00Z,-4.97707924241092,7893974766.05,14.51
80,DFS.N,2010-09-30T00:00:00Z,16.4804469269874,9083751342.11999,16.68
81,DFS.N,2010-10-29T00:00:00Z,5.94072135641901,9612003068.84999,17.65
82,DFS.N,2010-11-30T00:00:00Z,3.56940509776451,9955094396.52,18.28
83,DFS.N,2010-12-31T00:00:00Z,1.47672964343344,10091241748.77,18.53
84,DFS.N,2011-01-31T00:00:00Z,11.117107391636,11226634432.83,20.59
85,DFS.N,2011-02-28T00:00:00Z,6.30498533989803,11859120879.75,21.75
86,DFS.N,2011-03-31T00:00:00Z,10.8965517246195,13157118291.96,24.12
87,DFS.N,2011-04-29T00:00:00Z,-0.317912866470638,13549868091.72,24.84
88,DFS.N,2011-05-31T00:00:00Z,-4.0257648946858,13004382258.72,23.84
89,DFS.N,2011-06-30T00:00:00Z,12.5368111059025,14596660221.75,26.75
90,DFS.N,2011-07-29T00:00:00Z,-4.04742267094591,13974596945.01,25.61
91,DFS.N,2011-08-31T00:00:00Z,-1.75712611963607,13729045651.56,25.16
92,DFS.N,2011-09-30T00:00:00Z,-7.94542536070709,12608674844.6,22.94
93,DFS.N,2011-10-31T00:00:00Z,2.97226359946936,12949449840.4,23.56
94,DFS.N,2011-11-30T00:00:00Z,-2.69607843111588,13092355483.8,23.82
95,DFS.N,2011-12-30T00:00:00Z,1.17218535357615,13191290160.0,24.0
96,DFS.N,2012-01-31T00:00:00Z,13.249999999334,14404761242.82,27.18
97,DFS.N,2012-02-29T00:00:00Z,10.5747973457102,15905447229.06,30.01
98,DFS.N,2012-03-30T00:00:00Z,11.0963012329036,17680845995.44,33.34
99,DFS.N,2012-04-30T00:00:00Z,1.98309487397448,17977824812.3999,33.9
100,DFS.N,2012-05-31T00:00:00Z,-2.33038348047552,17558872552.76,33.11
101,DFS.N,2012-06-29T00:00:00Z,3.93748121621078,17805651150.5599,34.58
102,DFS.N,2012-07-31T00:00:00Z,4.28879925318471,18516229478.72,35.96
103,DFS.N,2012-08-31T00:00:00Z,7.70300333835015,19942535253.3599,38.73
104,DFS.N,2012-09-28T00:00:00Z,3.54443576037893,20054744679.42,39.73
105,DFS.N,2012-10-31T00:00:00Z,3.45790020910752,20695810014.0,41.0
106,DFS.N,2012-11-30T00:00:00Z,3.37888198691993,21003723284.94,41.61
107,DFS.N,2012-12-31T00:00:00Z,-7.01754385979739,19459109171.6999,38.55
108,DFS.N,2013-01-31T00:00:00Z,-0.415045395629488,19099177369.91,38.39
