,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
45,FSLR.OQ,2007-10-31T00:00:00Z,34.8819432607817,11592801104.49,158.81
46,FSLR.OQ,2007-11-30T00:00:00Z,58.3639398955843,18487094177.7,237.15
47,FSLR.OQ,2007-12-31T00:00:00Z,12.6460046412989,20824972964.92,267.14
48,FSLR.OQ,2008-01-31T00:00:00Z,-31.9570262791013,14169930882.06,181.77
49,FSLR.OQ,2008-02-29T00:00:00Z,6.93069306892846,16135107824.9007,205.2
50,FSLR.OQ,2008-03-31T00:00:00Z,12.6413255354813,18179122630.76,231.14
51,FSLR.OQ,2008-04-30T00:00:00Z,27.6849746354434,23286677275.74,291.99
52,FSLR.OQ,2008-05-30T00:00:00Z,-8.37357443637524,21336750020.04,267.54
53,FSLR.OQ,2008-06-30T00:00:00Z,1.97353666924867,21757838605.32,272.82
54,FSLR.OQ,2008-07-31T00:00:00Z,4.50480170125549,22815105497.28,285.11
55,FSLR.OQ,2008-08-29T00:00:00Z,-2.96727578827217,22144331950.3999,276.65
56,FSLR.OQ,2008-09-30T00:00:00Z,-31.7151635647468,15121220852.16,188.91
57,FSLR.OQ,2008-10-31T00:00:00Z,-23.9320311269588,11652611445.0,143.7
58,FSLR.OQ,2008-11-28T00:00:00Z,-13.3476782125929,10123256874.0,124.84
59,FSLR.OQ,2008-12-31T00:00:00Z,10.5094520998896,11257095907.6,137.96
60,FSLR.OQ,2009-01-30T00:00:00Z,3.50826326712672,11652024468.0,142.8
61,FSLR.OQ,2009-02-27T00:00:00Z,-27.5157663823158,8633026514.69999,105.74
62,FSLR.OQ,2009-03-31T00:00:00Z,25.4965008522912,10860665359.5999,132.7
63,FSLR.OQ,2009-04-30T00:00:00Z,36.94793799132,15819690704.9399,187.29
64,FSLR.OQ,2009-05-29T00:00:00Z,1.4469539235775,16073089562.9399,190.0
65,FSLR.OQ,2009-06-30T00:00:00Z,-14.6736842105537,13700431589.1999,162.12
66,FSLR.OQ,2009-07-31T00:00:00Z,-4.76807303248086,13068696492.6099,154.39
67,FSLR.OQ,2009-08-31T00:00:00Z,-21.251376383431,10291418612.42,121.58
68,FSLR.OQ,2009-09-30T00:00:00Z,23.0657757036299,12939186125.14,152.86
69,FSLR.OQ,2009-10-30T00:00:00Z,-20.2342012325199,10377187225.92,121.93
70,FSLR.OQ,2009-11-30T00:00:00Z,-2.31280242700312,10137183387.84,119.11
71,FSLR.OQ,2009-12-31T00:00:00Z,13.6764335456987,11523588537.6,135.4
72,FSLR.OQ,2010-01-29T00:00:00Z,-16.3220088634414,9642707395.19999,113.3
73,FSLR.OQ,2010-02-26T00:00:00Z,-7.38959335382464,9012990861.0,105.9
74,FSLR.OQ,2010-03-31T00:00:00Z,15.8168083067559,10453364814.2,122.65
75,FSLR.OQ,2010-04-30T00:00:00Z,17.4905876597039,12280226256.0999,143.55
76,FSLR.OQ,2010-05-28T00:00:00Z,-21.7276210386134,9583318670.2,112.36
77,FSLR.OQ,2010-06-30T00:00:00Z,1.30829476746932,9708696726.85,113.83
78,FSLR.OQ,2010-07-30T00:00:00Z,10.2082052193835,10732872742.8,125.45
79,FSLR.OQ,2010-08-31T00:00:00Z,1.91311279341673,10938204704.4,127.85
80,FSLR.OQ,2010-09-30T00:00:00Z,16.6851441201634,12606526892.4,147.35
81,FSLR.OQ,2010-10-29T00:00:00Z,-6.56260604030708,11801936346.32,137.68
82,FSLR.OQ,2010-11-30T00:00:00Z,-10.7713538616356,10530708019.65,122.85
83,FSLR.OQ,2010-12-31T00:00:00Z,5.9340659312944,11155607176.8599,130.14
84,FSLR.OQ,2011-01-31T00:00:00Z,18.7797756269063,13250605174.42,154.58
85,FSLR.OQ,2011-02-28T00:00:00Z,-0.067801206502793,12660075988.5899,147.39
86,FSLR.OQ,2011-03-31T00:00:00Z,9.12544948544334,13815364828.04,160.84
87,FSLR.OQ,2011-04-29T00:00:00Z,-10.1808353193982,12025448899.0,139.57
88,FSLR.OQ,2011-05-31T00:00:00Z,-10.9765708959565,10705466975.0,124.25
89,FSLR.OQ,2011-06-30T00:00:00Z,8.98080250589963,11396475789.0,132.27
90,FSLR.OQ,2011-07-29T00:00:00Z,-10.6146518480132,10203810356.04,118.23
91,FSLR.OQ,2011-08-31T00:00:00Z,-15.4360145487382,8628748705.04,99.98
92,FSLR.OQ,2011-09-30T00:00:00Z,-38.0051000395859,5459933089.59,63.21
93,FSLR.OQ,2011-10-31T00:00:00Z,-21.2624584720208,4301366327.37,49.77
94,FSLR.OQ,2011-11-30T00:00:00Z,-11.3539544382377,4136294804.66,47.86
95,FSLR.OQ,2011-12-30T00:00:00Z,-29.4609277069994,2917703982.56,33.76
96,FSLR.OQ,2012-01-31T00:00:00Z,25.2369668284844,3654043968.68,42.28
97,FSLR.OQ,2012-02-29T00:00:00Z,-29.073342115908,2793497767.7,32.3
98,FSLR.OQ,2012-03-30T00:00:00Z,-22.4458204347679,2166474274.95,25.05
99,FSLR.OQ,2012-04-30T00:00:00Z,-26.54690618882,1596574145.6,18.4
100,FSLR.OQ,2012-05-31T00:00:00Z,-31.739130435591,1089835395.04,12.56
101,FSLR.OQ,2012-06-29T00:00:00Z,12.3880597005149,1306761230.04,15.06
102,FSLR.OQ,2012-07-31T00:00:00Z,3.18725099477362,1351507801.56,15.54
103,FSLR.OQ,2012-08-31T00:00:00Z,28.6357786386042,1738522583.86,19.99
104,FSLR.OQ,2012-09-28T00:00:00Z,12.4111675103887,1925942102.03,22.145
105,FSLR.OQ,2012-10-31T00:00:00Z,9.77647324531559,2114775758.7,24.31
106,FSLR.OQ,2012-11-30T00:00:00Z,12.599082186787,2348880564.91,26.99
107,FSLR.OQ,2012-12-31T00:00:00Z,14.4127454625622,2685295263.38039,30.88
