,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
0,NI.N,2004-01-30T00:00:00Z,-3.2503776241832,5515238589.0,8.252139
1,NI.N,2004-02-27T00:00:00Z,1.63857678236672,5701706179.39,8.53113989
2,NI.N,2004-03-31T00:00:00Z,-2.11883924536295,2649571061.25,8.35037875
3,NI.N,2004-04-30T00:00:00Z,-3.93865829985445,5310272318.4,7.92205344
4,NI.N,2004-05-28T00:00:00Z,0.496031745767578,5336612954.9,7.96134934
5,NI.N,2004-06-30T00:00:00Z,1.77690029639186,5431439246.3,8.10281458
6,NI.N,2004-07-30T00:00:00Z,1.49483964137314,5452511755.49999,8.1342513
7,NI.N,2004-08-31T00:00:00Z,0.483091787689549,5480564169.6,8.1735472
8,NI.N,2004-09-30T00:00:00Z,1.20423892030575,5535896788.62,8.25606859
9,NI.N,2004-10-29T00:00:00Z,3.19614995109123,5651831799.89999,8.42897055
10,NI.N,2004-11-30T00:00:00Z,1.58508158573998,5743577094.28999,8.56257661
11,NI.N,2004-12-31T00:00:00Z,4.54336851645349,6004528967.78,8.95160602
12,NI.N,2005-01-31T00:00:00Z,1.54398713987105,6036159497.9,8.9987611
13,NI.N,2005-02-28T00:00:00Z,0.31014620876737,6140968574.8,8.89659176
14,NI.N,2005-03-31T00:00:00Z,0.662544167617507,6181655204.05,8.95553561
15,NI.N,2005-04-29T00:00:00Z,3.99822807681427,6317714170.59999,9.13236716
16,NI.N,2005-05-31T00:00:00Z,3.70051635138713,6551502216.5,9.4703119
17,NI.N,2005-06-30T00:00:00Z,2.91302538448666,6722765552.45,9.71787607
18,NI.N,2005-07-29T00:00:00Z,-0.849553472810771,6618775055.9,9.54497411
19,NI.N,2005-08-31T00:00:00Z,-0.617538081486713,6577901599.4,9.48603026
20,NI.N,2005-09-30T00:00:00Z,1.93358554047398,6607875467.5,9.52925575
21,NI.N,2005-10-31T00:00:00Z,-1.4860798738911,6447496819.5,9.29348035
22,NI.N,2005-11-30T00:00:00Z,-7.31812311630994,5869539387.9,8.46040727
23,NI.N,2005-12-30T00:00:00Z,-3.11193683191414,5686883029.8,8.19712474
24,NI.N,2006-01-31T00:00:00Z,-0.479386019976924,5596917957.9,8.06744827
25,NI.N,2006-02-28T00:00:00Z,1.039702e-09,5597359722.44,8.06744827
26,NI.N,2006-03-31T00:00:00Z,-1.50998538636558,5512840408.55999,7.94563098
27,NI.N,2006-04-28T00:00:00Z,4.53664420405073,5755960260.99999,8.29536449
28,NI.N,2006-05-31T00:00:00Z,3.12648033929732,5935919227.0,8.55471743
